Plot;Harvest;Row ;Column ;Family;DMY
1158;1;6;29;131F;3178.3
1157;1;6;30;47F;3723.9
1505;1;6;31;C;NA
1156;1;6;32;41F;1808.7
1187;1;7;1;44F;1813
1188;1;7;2;6_H;2369.6
1189;1;7;3;129F;1710.9
1190;1;7;4;8F;2463
1191;1;7;5;16F;3287
1192;1;7;6;9_H;2645.7
1193;1;7;7;136F;2802.2
1194;1;7;8;18F;2950
1195;1;7;9;69F;3121.7
1196;1;7;10;FL99;3300
1197;1;7;11;14F;2191.3
1198;1;7;12;28_H;3826.1
1199;1;7;13;67F;4210.9
1200;1;7;14;122F;2354.3
1201;1;7;15;58F;2956.5
1202;1;7;16;129F;2156.5
1203;1;7;17;3_H;3213
1204;1;7;18;89F;2580.4
1205;1;7;19;8_H;3539.1
1206;1;7;20;43F;4565.2
1207;1;7;21;51F;3000
1208;1;7;22;UF2015;4021.7
1209;1;7;23;1_H;4150
1210;1;7;24;61F;3300
1211;1;7;25;42F;4463.3
1212;1;7;26;63F;2680.4
1213;1;7;27;B_805;4284.8
1214;1;7;28;58F;3417.4
1215;1;7;29;137F;2882.6
1216;1;7;30;103F;3719.6
1506;1;7;31;C;NA
1217;1;7;32;79F;7047.5
1248;1;8;1;5F;2471.7
1247;1;8;2;127F;3045.7
1246;1;8;3;15F;2617.4
1245;1;8;4;31_H;2847.8
1244;1;8;5;65F;1795.7
1243;1;8;6;130F;2391.3
1242;1;8;7;11F;2991.3
1241;1;8;8;B_805;3545.7
1240;1;8;9;13_H;3017.4
1239;1;8;10;15_H;2728.3
1238;1;8;11;20F;2567.4
1237;1;8;12;128F;3558.7
1236;1;8;13;81F;2065.2
1235;1;8;14;123F;1956.5
1234;1;8;15;UF2015;4739.9
1233;1;8;16;27_H;3771.7
1232;1;8;17;19_H;3526.1
1231;1;8;18;116F;3019.6
1230;1;8;19;FL99;3815.2
1229;1;8;20;34_H;3337
1228;1;8;21;17F;3917.4
1227;1;8;22;91F;964.6
1226;1;8;23;19F;2110.9
1225;1;8;24;32F;2617.4
1224;1;8;25;102F;3152.2
1223;1;8;26;15_H;2245.7
1222;1;8;27;24F;3426.1
1221;1;8;28;37F;3028.3
1220;1;8;29;21_H;2671.7
1219;1;8;30;32_H;3389.1
1507;1;8;31;C;NA
1218;1;8;32;18F;4891.3
1249;1;9;1;FL99;3465.2
1250;1;9;2;70F;2597.8
1251;1;9;3;95F;2513
1252;1;9;4;36_H;2882.6
1253;1;9;5;30F;2517.4
1254;1;9;6;24F;3395.7
1255;1;9;7;47F;1500.5
1256;1;9;8;20_H;3489.1
1257;1;9;9;145F;2841.3
1258;1;9;10;31F;1965.2
1259;1;9;11;16_H;4423.9
1260;1;9;12;23_H;2878.3
1261;1;9;13;76F;4878.3
1262;1;9;14;18_H;1293.5
1263;1;9;15;27F;3137
1264;1;9;16;75F;1708.7
1265;1;9;17;2F;2841.3
1266;1;9;18;113F;3330.4
1267;1;9;19;83F;2706.5
1268;1;9;20;4F;3987
1269;1;9;21;80F;2726.1
1270;1;9;22;9_H;4021.7
1271;1;9;23;62F;2854.3
1272;1;9;24;134F;3719.6
1273;1;9;25;30_H;4160.9
1274;1;9;26;106F;4037
1275;1;9;27;5F;2621.7
1276;1;9;28;16_H;4073.9
1277;1;9;29;B_805;3300
1278;1;9;30;127F;4357.9
1508;1;9;31;C;NA
1279;1;9;32;13F;5361.9
1311;1;10;1;78F;2293.5
1310;1;10;2;109F;2817.4
1309;1;10;3;21_H;1026.1
1308;1;10;4;135F;1852.2
1307;1;10;5;B_805;3239.1
1306;1;10;6;11_H;1095.7
1305;1;10;7;32_H;1734.8
1304;1;10;8;35_H;1604.3
1303;1;10;9;50F;2321.7
1302;1;10;10;17_H;3341.3
1301;1;10;11;60F;2441.3
1300;1;10;12;107F;1939.1
1299;1;10;13;66F;3156.5
1298;1;10;14;25F;2671.7
1297;1;10;15;99F;2821.7
1296;1;10;16;149F;3722.2
1295;1;10;17;96F;2543.5
1294;1;10;18;140F;3543.5
1293;1;10;19;126F;2465.2
1292;1;10;20;141F;4256.9
1291;1;10;21;33F;5389.9
1290;1;10;22;119F;5772.9
1289;1;10;23;133F;2745.7
1288;1;10;24;FL99;4824.1
1287;1;10;25;114F;4740.8
1286;1;10;26;UF2015;4989.1
1285;1;10;27;121F;4702.1
1284;1;10;28;118F;3587
1283;1;10;29;23_H;2152.2
1282;1;10;30;36_H;2889.1
1281;1;10;31;135F;4527.6
1280;1;10;32;10F;3719.6
1312;1;11;1;6F;3028.3
1313;1;11;2;101F;2804.3
1314;1;11;3;28F;4585.6
1315;1;11;4;37F;3871.7
1316;1;11;5;17F;5581.3
1317;1;11;6;115F;3632.7
1318;1;11;7;32F;3260.9
1319;1;11;8;88F;2571.7
1320;1;11;9;105F;6091
1321;1;11;10;97F;4455.3
1322;1;11;11;UF2015;6555.5
1323;1;11;12;42F;7052.1
1324;1;11;13;120F;1597.8
1325;1;11;14;1_H;3988.9
1326;1;11;15;40F;1523.9
1327;1;11;16;12_H;2884.8
1328;1;11;17;B_805;4489.7
1329;1;11;18;101F;3137
1330;1;11;19;137F;3941.3
1331;1;11;20;104F;4093.3
1332;1;11;21;78F;2819.6
1333;1;11;22;7_H;4441.3
1334;1;11;23;26_H;3460.9
1335;1;11;24;123F;5865.2
1336;1;11;25;68F;3043.5
1337;1;11;26;25F;4093.1
1338;1;11;27;66F;2780.4
1339;1;11;28;21F;4384.2
1340;1;11;29;65F;4964.7
1341;1;11;30;FL99;5278.1
1342;1;11;31;125F;7481.8
1509;1;11;32;C;NA
1373;1;12;1;148F;3108.7
1372;1;12;2;91F;2200
1371;1;12;3;134F;3569.6
1370;1;12;4;UF2015;4514.9
1369;1;12;5;89F;3354.3
1368;1;12;6;18F;3071.7
1367;1;12;7;10F;3147.8
1366;1;12;8;3F;3173.9
1365;1;12;9;131F;3358.7
1364;1;12;10;34_H;3391.3
1363;1;12;11;8_H;4263
1362;1;12;12;82F;1610.9
1361;1;12;13;147F;2597.8
1360;1;12;14;2_H;1978.3
1359;1;12;15;49F;3767.4
1358;1;12;16;FL99;3152.2
1357;1;12;17;133F;3173.9
1356;1;12;18;28_H;3245.7
1355;1;12;19;29_H;4273.9
1354;1;12;20;FL99;5180.3
1353;1;12;21;128F;4556.4
1352;1;12;22;7F;1837
1351;1;12;23;64F;1123.9
1350;1;12;24;130F;3902.2
1349;1;12;25;9F;4214.9
1348;1;12;26;105F;4757.2
1347;1;12;27;B_805;3969.6
1346;1;12;28;33_H;4456.5
1345;1;12;29;12_H;3004.3
